AX,AY,AZ,GX,GY,GZ,LAX ,LAY,LAZ,GYROX,GYROY,GYROZ,LIGHT,MFX,MFY,MFZ,OZ,OX,OY,dB,Lat,Long,Alti,Time ms
-1.8004,4.6058,9.4419,-1.8023,4.574,8.4853,0.0076,-0.0159,0.9196,-0.119,-0.2462,7.00E-04,174,-63.48,14.45,-38.61,72.44,-29.15,14.65,38.971,48.1882,11.58459,551.4,7
0.1245,4.3388,8.9583,0.8193,4.4835,8.6832,-0.7712,-0.1126,0.1982,-0.8178,0.132,-0.2912,190,-66.35,17.03,-20.49,66.47,-28.53,-5.92,47.18,48.1882,11.58459,551.4,508
-0.0323,5.7382,8.4962,0.1923,5.5961,8.0509,0.0457,-0.1573,0.9709,0.3881,0.2736,-0.1676,236,-61.98,7.69,-5.5,80.03,-33.57,-2.38,40.164,48.1882,11.58459,551.4,1007
10.2125,8.6137,-6.6627,1.6054,9.6596,-0.5344,16.7169,5.0699,-1.0406,1.8699,0.2651,-4.3786,143,14.63,24.96,36.66,110.92,-79.26,-87.94,44.778,48.1882,11.58459,551.4,1509
12.8354,-5.6007,8.8613,-1.7327,9.647,-0.3205,8.0303,-21.392,1.1386,-1.882,2.5917,10.942,85,15.44,17.22,51.69,299.03,-79.65,100.48,53.603,48.1882,11.58459,551.4,2008
-10.9055,-15.126,-9.4316,-2.3468,9.1519,-2.628,-3.5412,-18.8124,-10.1437,-1.4431,-1.2827,-7.8354,109,27.91,2.32,35.85,355.9,-68.94,138.24,58.118,48.1882,11.58459,551.4,2508
35.6114,38.1007,1.152,1.989,9.5828,-0.6202,32.1426,15.9917,4.5524,2.2289,0.8457,4.6176,74,-8.42,36.48,61.14,275.54,-77.52,88.2,47.098,48.1882,11.58459,551.4,3007
-31.1377,-24.4527,18.079,-7.2086,6.6134,0.685,-22.2252,-32.4937,17.3188,-2.4114,0.1416,-2.9821,99,19.25,-5.6,39.56,286.2,-64.35,96.8,49.128,48.1882,11.58459,551.4,3507
27.8817,33.3697,-4.4265,1.9159,9.5777,-0.8757,23.7126,21.4526,-3.6807,1.3149,1.6351,-1.9626,66,-8.63,1.24,38.59,52.85,-77.6,-114.56,49.651,48.1882,11.58459,551.4,4007
-19.9891,-24.5879,2.2653,-3.8174,9.0139,0.5893,-18.2735,-33.3741,2.8492,-1.4261,-1.8494,-3.6926,98,-57.7,-19.64,55.13,210.18,-80.11,77.57,48.887,48.1882,11.58459,551.4,4507
38.7179,38.224,5.9799,4.0619,8.782,1.596,34.8276,29.8474,4.6787,2.6954,1.5573,-1.9796,109,-59.15,-9.64,49.61,72.97,-66.42,-61.83,55.17,48.1882,11.58459,551.4,5007
-28.1366,-22.9228,8.9571,-6.1861,7.6035,0.2993,-29.9155,-32.0882,13.3404,1.3063,0.165,8.0541,112,-59.59,-13.32,47.31,229.39,-57.07,100.07,45.497,48.1882,11.58459,551.4,5508
12.493,4.9098,-7.296,1.0448,9.715,-0.8354,18.0774,5.3066,-4.369,2.3002,-0.0246,-6.6774,98,-75.44,9.61,51.42,355.6,-82.16,-128.65,44.636,48.1882,11.58459,551.4,6007
12.3757,-14.3766,-8.8103,0.0803,9.8056,0.1219,14.6877,-22.3665,-8.4516,-1.8852,1.6872,12.5868,116,-48.79,-17.33,52.04,227.97,-69,93.07,52.8,48.1882,11.58459,551.4,6508
10.5465,-2.3865,-6.9081,-0.5806,9.7553,-0.8169,12.4809,-10.3039,-6.2679,2.2619,-2.0657,-9.6645,110,-44.95,-15.06,46.49,48.68,-76.17,-82.16,54.236,48.1882,11.58459,551.4,7007
2.2302,6.4553,8.4938,1.0867,7.8466,5.781,1.1118,-0.764,3.2429,-1.2109,1.3144,0.4992,175,-83.54,-2.98,26.91,94.37,-57.88,-15.35,56.161,48.1882,11.58459,551.4,7507
0.7039,7.9505,5.1503,0.6326,7.9223,5.7452,0.3089,0.1878,0.3165,-0.1499,0.0702,0.0316,215,-69.48,-14.69,8.22,97.52,-53.89,-6.28,45.328,48.1882,11.58459,551.4,8008
